Field group,Field name,API name,Field class,Description,Sample Data,Format,Part of main raw data report schema,Report delivery method,,
,,,,,,,,Push API,Data Locker,Export data/Pull API
Device Info,Ad Personalization Enabled,ad_personalization_enabled,SDK,Cho biết người dùng đã đồng ý cho Google sử dụng dữ liệu cho quảng cáo cá nhân hóa hay chưa.,true,Boolean,No,Yes,Yes,Yes
Attribution,Ad placement,ad_placement,Link,Vị trí quảng cáo trên CTV.,Banner 1,String 64,Yes,N/A,Yes,Yes
Ad revenue,Ad unit,ad_unit,Ad revenue API,Tên phân đoạn quảng cáo khi thực hiện kiểm thử A/B.,Banner 1,String 1024,Yes,N/R,Yes,Yes
Device Info,Ad User Data Enabled,ad_user_data_enabled,SDK,Cho biết người dùng đã đồng ý cho Google sử dụng dữ liệu cho đo lường và quảng cáo cá nhân hóa hay chưa.,true,Boolean,No,Yes,Yes,Yes
Device info,Advertising ID for Android devices,advertising_id,SDK,"Mã quảng cáo có thể đặt lại của người dùng, còn gọi là GAID; với CTV là CTV ID, ví dụ RIDA hoặc VIDA.",123456789,String 40,Yes,Yes,Yes,Yes
Attribution,Ad,af_ad,Link,Tên quảng cáo.,Summer Promo,String 100,Yes,Yes,Yes,Yes
Attribution,Ad ID,af_ad_id,Link,ID quảng cáo.,1234567890,String 24,Yes,Yes,Yes,Yes
Attribution,Ad type,af_ad_type,Link,"Loại quảng cáo, ví dụ banner hoặc footer.",banner,String 24,Yes,Yes,Yes,Yes
Attribution,Adset,af_adset,Link,"Tên adset, xác định một nhóm chứa một hoặc nhiều quảng cáo.",Prospecting iOS,String 100,Yes,Yes,Yes,Yes
Attribution,Adset ID,af_adset_id,Link,"ID adset, xác định một nhóm chứa một hoặc nhiều quảng cáo.",9876543210,String 24,Yes,Yes,Yes,Yes
Attribution,Attribution lookback window,af_attribution_lookback,Link,Khoảng thời gian tối đa để một install có thể được gán cho một quảng cáo cụ thể.,7d,3 char max,Yes,Yes,Yes,Yes
