Field group,Field name,API name,Field class,Description,Sample Data,Format,Part of main raw data report schema,Report delivery method,Push API,Data Locker,Export data/Pull API
Attribution,Attributed touch type,attributed_touch_type,Adjust attribution,Attributed touch type for conversion,click,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Attributed touch time,attributed_touch_time,Adjust attribution,Timestamp of attributed touch,2026-08-05 14:30:00,DateTime,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Click time,click_time,Adjust attribution,Timestamp of click touch,2026-08-05 14:00:00,DateTime,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Install time,install_time,Adjust attribution,First open time after install or reattribution,2026-08-05 14:30:00,DateTime,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Media source,media_source,Adjust attribution,Attributed media source,google_ads,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Campaign,campaign,Adjust attribution,Campaign name,Summer Sale 2026,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Campaign ID,campaign_id,Adjust attribution,Campaign identifier from source network,camp_12345,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Campaign type,campaign_type,Adjust attribution,Campaign context such as UA Organic or Retargeting,UA,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Match type,match_type,Adjust attribution,Attribution match method,id_matching,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Is organic,is_organic,Adjust attribution,Whether conversion is organic,false,Boolean,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Facebook campaign ID,fb_campaign_id,Network mapping,Network campaign id for Facebook,120012300123,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Agency,agency,Adjust attribution,Agency or partner name,digital_agency,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Channel,channel,Adjust attribution,Marketing channel,social,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Keywords,keywords,Adjust attribution,Keyword terms used by source network,running shoes,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Adset ID,adset_id,Network mapping,Ad set identifier,set_8899,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Adset,adset,Network mapping,Ad set name,Prospecting iOS,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Facebook adset ID,fb_adset_id,Network mapping,Facebook adset identifier,120045600789,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Facebook adset name,fb_adset_name,Network mapping,Facebook adset name,Prospecting VN,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Facebook ad ID,fb_ad_id,Network mapping,Facebook ad identifier,120078900111,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Facebook ad name,fb_ad_name,Network mapping,Facebook ad name,Promo Video A,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Ad ID,ad_id,Network mapping,Ad identifier from network,ad_50001,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Ad name,ad_name,Network mapping,Ad name from network,Back To School Banner,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Ad type,ad_type,Network mapping,Ad type from network,banner,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Site ID,site_id,Adjust attribution,Publisher site identifier,publisher_123,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Sub site ID,sub_site_id,Adjust attribution,Sub publisher identifier,sub_pub_456,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Sub parameter 1,sub_param_1,Adjust attribution,Custom sub parameter 1 from attribution link,seg_a,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Sub parameter 2,sub_param_2,Adjust attribution,Custom sub parameter 2 from attribution link,exp_2,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Sub parameter 3,sub_param_3,Adjust attribution,Custom sub parameter 3 from attribution link,creative_9,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Sub parameter 4,sub_param_4,Adjust attribution,Custom sub parameter 4 from attribution link,slot_top,String,Yes,Simulator CSV export,N/A,N/A,Yes
